Section,Topic,Details,"Commands / Paths"
Development,API codegen,"Regenerate React Query hooks and Zod schemas after editing the OpenAPI spec.",pnpm --filter @workspace/api-spec run codegen
Development,DB schema push,Apply Drizzle schema changes to the development database.,pnpm --filter @workspace/db run push
Development,Mobile tests,"The mobile artifact has a vitest test suite covering the offline engine.",cd artifacts/academy-mobile && pnpm test (vitest.config.ts)
Frontend,Routing,wouter provides client-side routing. Pages live in src/pages (Home, PerkDemo, not-found).,artifacts/academy/src/pages/
Frontend,Data fetching,"The web frontend uses its own fetch layer (src/lib/queryClient.ts) with same-origin relative /api/... requests and credentials: include. OpenAPI codegen is intentionally NOT used for the legacy web frontend.",artifacts/academy/src/lib/queryClient.ts
Frontend,Styling,"Tailwind CSS 4 (@tailwindcss/vite), Radix UI primitives, class-variance-authority, framer-motion, lucide-react icons.",
Mobile,Fetch layer,"lib/api.ts is a smart fetch layer: every helper tries the live API first, then falls back to the deterministic offline engine. Responses carry a source tag (online | offline).",artifacts/academy-mobile/lib/api.ts
Mobile,Offline fallbacks,Deterministic offline content generation lives in lib/gameFallbacks.ts and the shared @workspace/game-engine library.,artifacts/academy-mobile/lib/gameFallbacks.ts
Mobile,Design tokens,"Retro CRT theme: Space Mono font (@expo-google-fonts/space-mono), phosphor-green palette in constants/colors.ts, consumed via the useColors hook.",artifacts/academy-mobile/constants/colors.ts
Mobile,Metro config,"metro.config.js is monorepo-aware (watchFolders + nodeModulesPaths include the workspace root) — required for EAS cloud builds to resolve hoisted deps. Do not revert to the single-package default.",artifacts/academy-mobile/metro.config.js
Mobile,APK builds,"EAS build config is in eas.json. The preview profile produces an installable .apk; production produces a Play Store app bundle. Requires an Expo account; run from the mobile artifact directory.",eas build -p android --profile preview
Mobile,Online mode in APKs,"The API address is baked in at build time via EXPO_PUBLIC_DOMAIN in eas.json (currently empty, so APKs are offline-only). Set it to the published domain to enable live AI enrichment and content-pack sync.",artifacts/academy-mobile/eas.json
Backend,Route structure,"Routes are split into routes.ts (game/API routes), health.ts, and index.ts. Middleware, AI helpers, NLP, procedural generation, and storage each have their own directory under src/.",artifacts/api-server/src/
Backend,Security middleware,"express-rate-limit, cookie-parser, CORS, and bcryptjs are wired in the API server.",artifacts/api-server/package.json
Backend,Validation,"Zod (zod/v4) with drizzle-zod for schema-derived validators; @workspace/api-zod carries the OpenAPI-generated Zod schemas.",lib/api-zod/
Conventions,Package naming,All workspace packages use the @workspace/* scope and are private.,
Conventions,Dependency versions,"Shared dependency versions (react, vite, drizzle-orm, zod, tailwind, etc.) are pinned in the pnpm catalog — add new shared deps there, reference them with ""catalog:"".",pnpm-workspace.yaml
Conventions,TypeScript,"TypeScript ~5.9, strict project references for libs (tsconfig.base.json / tsconfig.json at root). Legacy web frontend has intentional pre-existing strict-TS errors; Vite/esbuild transpile despite them.",tsconfig.base.json
Gotchas,Use workflows,"Run apps via their workflows, never a root-level pnpm dev/build.",
Gotchas,Schema duplication,"artifacts/academy/src/shared/schema.ts duplicates lib/db/src/schema/schema.ts. If shared DB types change, update BOTH copies in sync.",
Gotchas,Port not rewrite,"The web app was ported from a legacy codebase (.migration-backup/) with behavior/visual parity as the goal. Pre-existing bugs and strict-TS compliance are intentionally out of scope — avoid drive-by refactors.",
Gotchas,No mobile codegen,"The mobile artifact intentionally calls the API via direct fetch. Do NOT add DB or OpenAPI codegen to the mobile package.",
Gotchas,Package manager,"npm and yarn are blocked by a preinstall hook; lockfiles other than pnpm-lock.yaml are deleted automatically.",
Deployment,Web + API,"Production build: pnpm run build. The API server bundles to dist/index.mjs (esbuild, CJS) and serves the app; the web frontend builds via vite build.",
Deployment,Mobile,"Distribute via EAS builds (APK / app bundle) or Expo Go for quick device testing during development.",
